Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
24;Centre-Val de Loire;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;1885;0;9121;425;0;25;0;30;-7716;0;0;0.0;0.0;483.87;78.43;22.55;23.53;0.0;0.0;1.33;27.17;1.59;32.97;
11;Île-de-France;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;6098;0;0;40;0;16;0;157;5885;0;0;0.0;0.0;0.0;;0.66;28.78;0.0;0.0;0.26;84.21;2.57;44.35;
52;Pays de la Loire;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;2733;445;0;740;0;9;0;104;1447;-12;0;16.28;22.51;0.0;;27.08;30.29;0.0;0.0;0.33;90.0;3.81;114.29;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;4284;810;0;0;0;889;0;142;2445;0;0;18.91;30.79;0.0;;0.0;0.0;0.0;0.0;20.75;27.56;3.31;47.81;
32;Hauts-de-France;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;4796;864;3524;531;0;5;0;99;-225;-2;0;18.02;36.09;73.48;64.54;11.07;7.98;0.0;0.0;0.1;125.0;2.06;50.51;
76;Occitanie;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;4239;0;0;853;0;1149;-35;92;2243;-2;0;0.0;0.0;0.0;0.0;20.12;46.87;0.0;0.0;27.11;21.46;2.17;59.74;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;6295;375;5177;106;0;3788;0;81;-3233;0;0;5.96;39.06;82.24;38.15;1.68;13.28;0.0;0.0;60.17;33.08;1.29;42.86;
44;Grand Est;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;4183;1249;6893;830;0;786;0;104;-5678;-1;0;29.86;40.37;164.79;63.71;19.84;15.91;0.0;0.0;18.79;34.11;2.49;38.66;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;1979;0;0;117;0;3;0;30;1831;-3;0;0.0;0.0;0.0;;5.91;9.82;0.0;0.0;0.15;0.58;1.52;37.04;
52;Pays de la Loire;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;2570;443;0;687;0;9;0;104;1340;-12;0;17.24;22.41;0.0;;26.73;28.12;0.0;0.0;0.35;90.0;4.05;114.29;
24;Centre-Val de Loire;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;1796;0;9124;443;0;25;0;30;-7826;0;0;0.0;0.0;508.02;78.45;24.67;24.53;0.0;0.0;1.39;27.17;1.67;32.97;
32;Hauts-de-France;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;4650;856;3530;515;0;5;0;99;-353;-3;0;18.41;35.76;75.91;64.65;11.08;7.74;0.0;0.0;0.11;125.0;2.13;50.51;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;4143;618;0;0;0;730;0;143;2652;0;0;14.92;23.49;0.0;;0.0;0.0;0.0;0.0;17.62;22.63;3.45;48.15;
28;Normandie;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;2377;89;8481;101;0;10;0;85;-6389;0;0;3.74;11.66;356.79;69.18;4.25;6.07;0.0;0.0;0.42;34.48;3.58;57.43;
11;Île-de-France;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;5904;0;0;40;0;16;0;155;5694;0;0;0.0;0.0;0.0;;0.68;28.78;0.0;0.0;0.27;84.21;2.63;43.79;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;6275;377;5496;99;0;3367;-1;81;-3143;-1;0;6.01;39.27;87.59;40.5;1.58;12.41;0.0;0.0;53.66;29.4;1.29;42.86;
76;Occitanie;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;4097;0;0;837;0;1034;-36;93;2231;-2;0;0.0;0.0;0.0;0.0;20.43;45.99;0.0;0.0;25.24;19.32;2.27;60.39;
44;Grand Est;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;4086;1238;6908;810;0;614;0;104;-5588;-1;0;30.3;40.01;169.07;63.84;19.82;15.53;0.0;0.0;15.03;26.65;2.55;38.66;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;1906;0;0;120;0;3;0;30;1756;-3;0;0.0;0.0;0.0;;6.3;10.07;0.0;0.0;0.16;0.58;1.57;37.04;
53;Bretagne;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;1924;438;0;310;0;163;0;45;969;0;0;22.77;30.72;0.0;;16.11;15.74;0.0;0.0;8.47;59.27;2.34;56.96;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;00:45;2026-07-01T00:45:00+02:00;3871;20;5226;473;0;74;0;51;-1981;0;8;0.52;3.66;135.0;78.82;12.22;21.37;0.0;0.0;1.91;3.3;1.32;14.7;
52;Pays de la Loire;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;2568;442;0;668;0;9;0;104;1364;-20;0;17.21;22.36;0.0;;26.01;27.34;0.0;0.0;0.35;90.0;4.05;114.29;
11;Île-de-France;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;5644;0;0;34;0;16;0;157;5437;0;0;0.0;0.0;0.0;;0.6;24.46;0.0;0.0;0.28;84.21;2.78;44.35;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;1886;0;0;113;0;3;0;30;1743;-2;0;0.0;0.0;0.0;;5.99;9.48;0.0;0.0;0.16;0.58;1.59;37.04;
53;Bretagne;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;1846;438;0;329;0;169;0;45;865;0;0;23.73;30.72;0.0;;17.82;16.71;0.0;0.0;9.15;61.45;2.44;56.96;
76;Occitanie;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;4082;0;0;829;0;970;-35;92;2291;-2;0;0.0;0.0;0.0;0.0;20.31;45.55;0.0;0.0;23.76;18.12;2.25;59.74;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;4127;420;0;0;0;752;0;139;2818;0;0;10.18;15.96;0.0;;0.0;0.0;0.0;0.0;18.22;23.31;3.37;46.8;
24;Centre-Val de Loire;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;1800;0;9121;457;0;25;0;30;-7833;0;0;0.0;0.0;506.72;78.43;25.39;25.3;0.0;0.0;1.39;27.17;1.67;32.97;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;6205;376;5522;93;0;3320;-1;81;-3183;-2;0;6.06;39.17;88.99;40.69;1.5;11.65;0.0;0.0;53.51;28.99;1.31;42.86;
44;Grand Est;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;4038;1251;6910;788;0;633;0;104;-5615;-33;0;30.98;40.43;171.12;63.86;19.51;15.1;0.0;0.0;15.68;27.47;2.58;38.66;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;3835;20;5217;462;0;74;0;51;-1996;0;8;0.52;3.66;136.04;78.69;12.05;20.88;0.0;0.0;1.93;3.3;1.33;14.7;
28;Normandie;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;2368;90;8481;125;0;10;0;86;-6424;0;0;3.8;11.8;358.15;69.18;5.28;7.51;0.0;0.0;0.42;34.48;3.63;58.11;
32;Hauts-de-France;Données temps réel;2026-07-01;01:00;2026-07-01T01:00:00+02:00;4659;865;3528;559;0;5;0;99;-394;-3;0;18.57;36.13;75.72;64.62;12.0;8.4;0.0;0.0;0.11;125.0;2.12;50.51;
24;Centre-Val de Loire;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;1796;0;9117;462;0;25;0;30;-7838;0;0;0.0;0.0;507.63;78.39;25.72;25.58;0.0;0.0;1.39;27.17;1.67;32.97;
11;Île-de-France;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;5617;0;0;45;0;16;0;157;5400;0;0;0.0;0.0;0.0;;0.8;32.37;0.0;0.0;0.28;84.21;2.8;44.35;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;6270;377;5529;100;0;3597;0;81;-3414;0;0;6.01;39.27;88.18;40.74;1.59;12.53;0.0;0.0;57.37;31.41;1.29;42.86;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;4081;20;5225;448;0;75;0;51;-1747;0;8;0.49;3.66;128.03;78.81;10.98;20.24;0.0;0.0;1.84;3.35;1.25;14.7;
32;Hauts-de-France;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;4602;865;3527;574;0;5;0;98;-475;0;7;18.8;36.13;76.64;64.6;12.47;8.63;0.0;0.0;0.11;125.0;2.13;50.0;
76;Occitanie;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;4034;0;0;784;0;1012;-35;93;2244;0;0;0.0;0.0;0.0;0.0;19.43;43.08;0.0;0.0;25.09;18.91;2.31;60.39;
44;Grand Est;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;4072;1250;6920;738;0;630;0;104;-5573;-3;7;30.7;40.4;169.94;63.96;18.12;14.15;0.0;0.0;15.47;27.34;2.55;38.66;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;1901;0;0;115;0;3;0;30;1754;-1;0;0.0;0.0;0.0;;6.05;9.65;0.0;0.0;0.16;0.58;1.58;37.04;
53;Bretagne;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;1852;438;0;315;0;190;0;45;864;0;0;23.65;30.72;0.0;;17.01;16.0;0.0;0.0;10.26;69.09;2.43;56.96;
52;Pays de la Loire;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;2559;438;0;609;0;9;0;104;1397;0;0;17.12;22.15;0.0;;23.8;24.93;0.0;0.0;0.35;90.0;4.06;114.29;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;4195;426;0;0;0;714;0;141;2913;0;0;10.15;16.19;0.0;;0.0;0.0;0.0;0.0;17.02;22.13;3.36;47.47;
28;Normandie;Données temps réel;2026-07-01;01:15;2026-07-01T01:15:00+02:00;2391;89;8474;143;0;10;0;85;-6410;0;0;3.72;11.66;354.41;69.12;5.98;8.59;0.0;0.0;0.42;34.48;3.55;57.43;
53;Bretagne;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;1891;437;0;304;0;204;0;45;901;0;0;23.11;30.65;0.0;;16.08;15.44;0.0;0.0;10.79;74.18;2.38;56.96;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;6233;379;5533;121;0;3233;0;81;-3108;-6;0;6.08;39.48;88.77;40.77;1.94;15.16;0.0;0.0;51.87;28.23;1.3;42.86;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;1895;0;0;99;0;3;0;30;1766;-3;0;0.0;0.0;0.0;;5.22;8.31;0.0;0.0;0.16;0.58;1.58;37.04;
52;Pays de la Loire;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;2538;416;0;656;0;9;0;104;1410;-57;0;16.39;21.04;0.0;;25.85;26.85;0.0;0.0;0.35;90.0;4.1;114.29;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;4055;426;0;0;0;717;0;140;2772;0;0;10.51;16.19;0.0;;0.0;0.0;0.0;0.0;17.68;22.23;3.45;47.14;
28;Normandie;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;2390;90;8478;153;0;10;0;86;-6428;0;0;3.77;11.8;354.73;69.15;6.4;9.19;0.0;0.0;0.42;34.48;3.6;58.11;
32;Hauts-de-France;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;4531;866;3525;613;0;5;0;98;-548;-28;0;19.11;36.17;77.8;64.56;13.53;9.22;0.0;0.0;0.11;125.0;2.16;50.0;
11;Île-de-France;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;5507;0;0;42;0;16;0;158;5292;0;0;0.0;0.0;0.0;;0.76;30.22;0.0;0.0;0.29;84.21;2.87;44.63;
24;Centre-Val de Loire;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;1816;0;9122;492;0;25;0;30;-7853;0;0;0.0;0.0;502.31;78.44;27.09;27.24;0.0;0.0;1.38;27.17;1.65;32.97;
44;Grand Est;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;4073;1258;6916;668;0;651;0;104;-5356;-168;0;30.89;40.66;169.8;63.92;16.4;12.8;0.0;0.0;15.98;28.26;2.55;38.66;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;3800;20;5222;450;0;75;0;51;-2026;0;8;0.53;3.66;137.42;78.76;11.84;20.33;0.0;0.0;1.97;3.35;1.34;14.7;
76;Occitanie;Données temps réel;2026-07-01;01:30;2026-07-01T01:30:00+02:00;4028;0;0;739;0;982;-35;92;2314;-2;0;0.0;0.0;0.0;0.0;18.35;40.6;0.0;0.0;24.38;18.34;2.28;59.74;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;3985;427;0;0;0;695;0;141;2722;0;0;10.72;16.23;0.0;;0.0;0.0;0.0;0.0;17.44;21.54;3.54;47.47;
28;Normandie;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;2416;89;8484;171;0;10;0;85;-6424;0;0;3.68;11.66;351.16;69.2;7.08;10.27;0.0;0.0;0.41;34.48;3.52;57.43;
53;Bretagne;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;1993;437;0;280;0;210;0;45;1021;0;0;21.93;30.65;0.0;;14.05;14.22;0.0;0.0;10.54;76.36;2.26;56.96;
24;Centre-Val de Loire;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;1804;0;9177;486;0;25;0;30;-7913;0;0;0.0;0.0;508.7;78.91;26.94;26.91;0.0;0.0;1.39;27.17;1.66;32.97;
32;Hauts-de-France;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;4543;863;3527;665;0;5;0;99;-595;-20;0;19.0;36.05;77.64;64.6;14.64;10.0;0.0;0.0;0.11;125.0;2.18;50.51;
76;Occitanie;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;3986;0;0;735;0;973;-36;93;2284;-2;0;0.0;0.0;0.0;0.0;18.44;40.38;0.0;0.0;24.41;18.18;2.33;60.39;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;3740;20;5227;450;0;73;0;52;-2091;0;8;0.53;3.66;139.76;78.84;12.03;20.33;0.0;0.0;1.95;3.26;1.39;14.99;
11;Île-de-France;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;5454;0;0;48;0;16;0;160;5231;0;0;0.0;0.0;0.0;;0.88;34.53;0.0;0.0;0.29;84.21;2.93;45.2;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;6196;381;5533;112;0;3147;-1;81;-3050;-7;0;6.15;39.69;89.3;40.77;1.81;14.04;0.0;0.0;50.79;27.48;1.31;42.86;
44;Grand Est;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;4092;1259;6924;653;0;660;0;104;-5344;-164;0;30.77;40.69;169.21;63.99;15.96;12.52;0.0;0.0;16.13;28.65;2.54;38.66;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;1899;0;0;86;0;3;0;30;1783;-3;0;0.0;0.0;0.0;;4.53;7.21;0.0;0.0;0.16;0.58;1.58;37.04;
52;Pays de la Loire;Données temps réel;2026-07-01;01:45;2026-07-01T01:45:00+02:00;2535;416;0;637;0;9;0;104;1441;-73;0;16.41;21.04;0.0;;25.13;26.07;0.0;0.0;0.36;90.0;4.1;114.29;
28;Normandie;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;2342;89;8390;207;0;10;0;86;-6441;0;0;3.8;11.66;358.24;68.43;8.84;12.43;0.0;0.0;0.43;34.48;3.67;58.11;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;1881;0;0;96;0;3;0;30;1755;-3;0;0.0;0.0;0.0;;5.1;8.05;0.0;0.0;0.16;0.58;1.59;37.04;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;6105;384;5535;98;0;2963;-1;81;-2947;-8;0;6.29;40.0;90.66;40.79;1.61;12.28;0.0;0.0;48.53;25.87;1.33;42.86;
24;Centre-Val de Loire;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;1768;0;9175;466;0;25;0;30;-7928;0;0;0.0;0.0;518.95;78.89;26.36;25.8;0.0;0.0;1.41;27.17;1.7;32.97;
32;Hauts-de-France;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;4371;579;3527;709;0;5;0;99;-528;-19;0;13.25;24.19;80.69;64.6;16.22;10.66;0.0;0.0;0.11;125.0;2.26;50.51;
76;Occitanie;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;3877;0;0;703;0;946;-36;92;2236;-2;0;0.0;0.0;0.0;0.0;18.13;38.63;0.0;0.0;24.4;17.67;2.37;59.74;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;3663;20;5222;456;0;72;0;52;-2168;0;8;0.55;3.66;142.56;78.76;12.45;20.61;0.0;0.0;1.97;3.21;1.42;14.99;
53;Bretagne;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;1936;285;0;251;0;215;0;45;1140;0;0;14.72;19.99;0.0;;12.96;12.75;0.0;0.0;11.11;78.18;2.32;56.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;3954;286;0;0;0;669;0;140;2859;0;0;7.23;10.87;0.0;;0.0;0.0;0.0;0.0;16.92;20.74;3.54;47.14;
44;Grand Est;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;4015;1144;6939;666;0;671;0;104;-5345;-163;0;28.49;36.97;172.83;64.13;16.59;12.77;0.0;0.0;16.71;29.12;2.59;38.66;
52;Pays de la Loire;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;2429;416;0;613;0;9;0;104;1345;-58;0;17.13;21.04;0.0;;25.24;25.09;0.0;0.0;0.37;90.0;4.28;114.29;
11;Île-de-France;Données temps réel;2026-07-01;02:00;2026-07-01T02:00:00+02:00;5326;0;0;44;0;16;0;159;5108;0;0;0.0;0.0;0.0;;0.83;31.65;0.0;0.0;0.3;84.21;2.99;44.92;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;02:15;2026-07-01T02:15:00+02:00;4034;187;0;5;0;596;0;140;3107;0;0;4.64;7.11;0.0;;0.12;4.13;0.0;0.0;14.77;18.47;3.47;47.14;
53;Bretagne;Données temps réel;2026-07-01;02:15;2026-07-01T02:15:00+02:00;1797;0;0;231;0;215;0;45;1309;0;0;0.0;0.0;0.0;;12.85;11.73;0.0;0.0;11.96;78.18;2.5;56.96;
76;Occitanie;Données temps réel;2026-07-01;02:15;2026-07-01T02:15:00+02:00;3850;0;0;688;0;960;-35;92;2208;0;0;0.0;0.0;0.0;0.0;17.87;37.8;0.0;0.0;24.94;17.93;2.39;59.74;
